CV_ID,Category,Severity,Signals Found
11005406,DIGITAL-MEDIA,CRITICAL — EXCLUDE,FEMALE_TITLE: ms
11270462,DIGITAL-MEDIA,CRITICAL — EXCLUDE,"MALE_PRONOUN: his, he"
17432318,DIGITAL-MEDIA,CRITICAL — EXCLUDE,MALE_TITLE: mr
19053815,DIGITAL-MEDIA,CRITICAL — EXCLUDE,MALE_PRONOUN: his
23085604,DIGITAL-MEDIA,CRITICAL — EXCLUDE,"MALE_PRONOUN: his; FEMALE_NAME: martha; MALE_NAME: james, lawrence, george, todd"
29915354,DIGITAL-MEDIA,CRITICAL — EXCLUDE,"FEMALE_TITLE: miss; FEMALE_NAME: olivia; MALE_NAME: dennis, philip"
10005171,DIGITAL-MEDIA,MILD — REVIEW,GENDERED_ORG: girl scouts
11677012,DIGITAL-MEDIA,MILD — REVIEW,"GENDERED_ORG: sorority, fraternity"
13503650,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: henry; GENDERED_JOB: chairman
14209965,DIGITAL-MEDIA,MILD — REVIEW,GENDERED_ORG: sorority
14761906,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: george
15226699,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: robert
17562754,DIGITAL-MEDIA,MILD — REVIEW,GENDERED_JOB: chairman
17584743,DIGITAL-MEDIA,MILD — REVIEW,FEMALE_NAME: joyce
18900722,DIGITAL-MEDIA,MILD — REVIEW,FEMALE_NAME: victoria
19444529,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: john
20210676,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: george
20330739,DIGITAL-MEDIA,MILD — REVIEW,FEMALE_NAME: madison; MALE_NAME: jim
24658786,DIGITAL-MEDIA,MILD — REVIEW,FEMALE_NAME: dawn
24679149,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: david
26160200,DIGITAL-MEDIA,MILD — REVIEW,GENDERED_ORG: fraternity
27921561,DIGITAL-MEDIA,MILD — REVIEW,FEMALE_NAME: wendy; MALE_NAME: jack
28679359,DIGITAL-MEDIA,MILD — REVIEW,FEMALE_NAME: dawn
29002596,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: william
30864828,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: thomas
30999638,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: thomas
31162167,DIGITAL-MEDIA,MILD — REVIEW,"FEMALE_NAME: robin, laura; MALE_NAME: matthew"
33542483,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: eugene
33893326,DIGITAL-MEDIA,MILD — REVIEW,MALE_NAME: calvin
37739183,DIGITAL-MEDIA,MILD — REVIEW,FEMALE_NAME: julia; MALE_NAME: peter
40883703,DIGITAL-MEDIA,MILD — REVIEW,FEMALE_NAME: mary; MALE_NAME: jose
